route,stops,types
11G,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,D.M.S,PONDY BAZAAR,ANJUGAM SCHOOL,GOVT. GIRLS H.SC,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR WEST",ORD
C70 Ext Dlx,"GUINDY TVK ESTATE,CIPET,JAFFARKHAN PET,JN OF III AND 1ST AVE,M.M.D.A.COLONY RD.JN.,KOYAMBEDU SCHOOL,THIRUMANGALAM,WEELS INDIA RD.JN.,WATER PIPE THANTHANKUPPAM,MALLIGAI NAGAR AVE,VINAYAGAPURAM,KATHIRVEDU,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR",ORD
10E,"BROADWAY,CENTRAL,EGMORE,MATERNITY HOSPITAL,D.P.I,STERLING ROAD,VIDYODAYA,VIVEK & CO (KRISHNAN KOIL,T.NAGAR,SRINIVASA THEATER,GOVT. GIRLS H.SC,JAFFARKHAN PET,EKKATTUTHANGAL",ORD
M54S,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,LAKSHMIPURAM JN./AROBINDO,THANGAL ERIKKARAI,VADAKKU MALAIAMBAKKAM",ORD
500A,"HASTHINAPURAM,KUMARAN KUNDRAM,VARADHARAJA THEATER,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY,THAILAPURAM,MARAIMALAI NAGAR,FORD,MALROSAPURAM,S.P.KOIL,MAHENDRA CITY(CHETTY PUNN,PULIPAKKAM,CHENGLEPET O.T.,CHENGLEPET N.T.",EXP
44L,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,AMBEDKAR NAGAR,KORUKKUPET,EZHIL NAGAR,KODUNGAIYUR PARVATHINAGAR",ORD
44C,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,AMBEDKAR NAGAR,KORUKKUPET,I.O.C",ORD
44B,"TRIPLICANE,CHEPAUK,SECRETARIAT,PARRYS,CLIVE BATTERY,ROYAPURAM P.S,TONDAIAYRPET,THANGAL,THRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,JN.,OF PONNERI RD,&ERANOO;,ANDAKUPPAM,ECHANKUZHI,MANALI NEW TOWN",ORD
44A,"BROADWAY,PARRYS,CLIVE BATTERY,MAHARANI,TONDAIAYRPET,I.O.C",ORD
64B,"BROADWAY,CENTRAL,DOVETON,P1.POLICE STATION,VYASARPADI,PERAMBUR MARKET,MOOLAKADAI,MADHAVARAM POST BOX,MADHAVARAM MILLK COLONY,MANALAI SEEKADU,MANALI RD JN.,JN.,OF PONNERI RD,&ERANOO;,ANDAKUPPAM,ECHANKUZHI,NAPALAYAM,KONDAKKARAI,PATTAMANDIRI,MINJUR B.D.O,MINJUR,MINJUR NEW TERMINUS",ORD
