route,stops,types
C56C,"BROADWAY,UNIVERCITY CLUB,THAMBUCHETTY ST,ROYAPURAM P.S,TONDAIAYRPET,THANGAL,THIRUVOTRIYUR TEMPLE,THIRUVETRIYUR B.S",ORD
M20B,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,VENGATAPURAM,MENAMBEDU",ORD
114S,"SEEMAVARAM,CHINNAMADIYOOR,THANDAVARAYAN PALAYAM,KANNIAMPALAYAM,PUDUKUPPAM,NERKUNDRAM,SOTHUPERMEDU,KARANODAI SCHOOL,SHOLAVARAM P.S.,SEMILIVARAM,PADIYANALLUR,RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,CYCLE SHOP,BUS BAY-17TH KM,MALLIGAI NAGAR AVE,WATER PIPE THANTHANKUPPAM,WEELS INDIA RD.JN.,THIRUMANGALAM,KOYAMBEDU SCHOOL,KOYAMBEDU P.S,KOYMABEDU MARKET",ORD
555,"TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,ANNA NAGAR,KOLAPAKKAM,VENGAMBAKKAM,KANDIGAI,MAMBAKKAM,CAMP,PUDUPAKKAM,SAMIYAR PANNAI,KELAMBAKKAM,CHENGAMMAL KOOT ROAD,KOMAN NAGAR RD JN.,KALAVAKKAM TEA STALL,THIRUPPORUR",EXP
M20,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,VILLIVAKKAM",ORD
556,"THIRUVETRIYUR B.S,ERNAVOOR GATE,SATHIYAMOORTHY NAGAR,JN.,OF PONNERI RD,&ERANOO;,ANDAKUPPAM,ECHANKUZHI,NAPALAYAM,KONDAKKARAI,PATTAMANDIRI,INDIA CEMENT,ATPEDUPUDUNGR,ATHIPEDU CAMP,ENNOREEBMAINGAT,ENORETMALPOWSTN,ENOREPORTMAINGA,BACK WATERBRIDG,L&T; HARBOUR,KATTUPALLIVILLA,L&T; CORNER,KATTUPALLI",EXP
551,"VELACHERY,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,VEERABADRA NAGAR,JN.OF MAMBAKKAM & O.BAKKA,NOOTHANCHERI CROSS RD.,MADURAPAKKAM RD.JN.,PONMAR,MAMBAKKAM TEMPLE,MAMBAKKAM ROCE MILL,M.G.R.NAGAR,POONGERI JN.,ECHANKADU,CONCRET COMPANY,KAYAAR,VEMBEDU,GEEYEE HOUSING,KIZHUR,KOTYAMEDU,MYLAI KOOT ROAD,CHEMBAKKAM VILLAGE,T.ACHARAVAKKAM",EXP
153 Dlx,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,KUMUNANCHAVADI,POONAMALLEE,VARADARAJA PURAM,THIRUMALISAI",ORD
M51B Ext,"T.NAGAR,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,VEERABADRA NAGAR,JN.OF MAMBAKKAM & O.BAKKA,CHITHALAPAKKAM,CHITTALAPAKKAM SANKARAPUR",ORD
565A Dlx,"AVADI,AVADI MOSQUE,GOVARDANAGIRI,MELPAKKAM,SENNEERKUPPAM,KARAYANCAHVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,SIPCOT,IRUNKATTUKOTTAI,PENNALUR E.B.,BEEMANTHANGAL,SRIPERUMPUDUR,TRAVELLERS BANGALOW,VADAMANGALAM KOOT ROAD,MAMBAKKAM,THIRUMANGALAM,SUNGUVARCHATHIRAM",ORD
M11A,"V. NAGAR,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,T.V.S,D.M.S,PONDY BAZAAR,RANGARAJAPURAM",ORD
R21,"HIGH COURT,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,SRP TOOLS,I.R.T. RD.JN.,VIJAYA NAGAR,MADIPAKKAM RD. JN.,KAMATCHI HOSPITAL,SUNNAMBU KOLATHUR,ECHANKADU,D.J.MAT.SCHOOL,VELS UNIVERSITY,PALLAVARAM NEW BRIDGE,PALLAVARAM",EXP
M18N,"NANGANALLUR,CHIDAMBARAM STORES,JN.OF.PALAVANTHANGAL &GST;,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY",ORD
M27 Ext,"VADAPALANI B.S,VIRUGAMBAKKAM,CHINMAYA NAGAR,KOYAMBEDU P.S,C.M.B.T.,KOYAMBEDU SCHOOL,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU",ORD
M18M,"VADAPALANI B.S,Jn.OF P.T.R Rd/KAMARAJ Rd,MUTHUMARIAMMAN KOIL,KALAIGNAR NAGAR,JAFFARKHAN PET,CIPET,GUINDY R.S,ST THOMAS MOUNT,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM",ORD
M18C,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,PAZAVANTHANGAL ROAD JN.,CHIDAMBARAM STORES,NANGANALLUR,MADIPAKKAM RD. JN.,KILKATTALAI",ORD
M18G,"HASTHINAPURAM,KUMARAN KUNDRAM,VARADHARAJA THEATER,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY",ORD
E18 AC,"HIGH COURT,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY",AC
E18 Dlx,"HIGH COURT,CENTRAL,PERIYAR BRIDGE,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY",ORD
M70 Dlx,"C.M.B.T.,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY R.S,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VIJAYA NAGAR,I.R.T. RD.JN.,SRP TOOLS,THIRUVANMIYUR",ORD
M248,"V. NAGAR,P1.POLICE STATION,DASAMAHAN,SAYANI/AYNAVARAM,KAMABAR ARANGAM,NATHAMUNI TALKIES,LUCAS TVS,AMBATHUR ESTATE,DUNLOP,AMB OT,PUDUR",ORD
B70,"PATTABIRAM,KAVARAIPALAYAM,AVADI,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,LUCAS TVS,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE",EXP
23M,"THIRUVANMIYUR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,T.NAGAR,BHARATHI NAGAR(PERIYAR PA,TRUSTPURAM,VADAPALANI JN.,M.M.D.A.COLONY RD.JN.,C.M.B.T.",ORD
591 Dlx,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,TSR RAJALAKSHMI NAGAR,VALARPURAM,MANNUR VILLAGE,SOWBAKKIYA NAGAR,KATTU KOOT ROAD,VAYALUR CROSS ROAD,MUDHUKUR CROSS ROAD,POOVALLI KUPPAM,MEPPEDU,MEPPEDU KOOT RD,KONDANCHERY CHRISTHUVA SA,KOOVAM,PERAMBAKKAM",ORD
15G Dlx,"BROADWAY,CENTRAL,DASAPRAKASH,TAYLORS ROAD,AMINIJIKARAI,JN. OF R.GARDEN & PEVR H.,M.M.D.A.COLONY",ORD
M118,"TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY,THAILAPURAM,MARAIMALAI NAGAR,PAVENTHER SALAI,MARAIMALAI NAGAR I.E.",ORD
M500,"TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY,THAILAPURAM,MARAIMALAI NAGAR,FORD,MALROSAPURAM,S.P.KOIL,MAHENDRA CITY(CHETTY PUNN,PULIPAKKAM,CHENGLEPET O.T.,CHENGLEPET N.T.",ORD
M116,"BROADWAY,PARRYS,CLIVE BATTERY,V. NAGAR,SATHIYAMOORTHY NAGAR,M.K.B.NAGAR,SIDCO,MOSQUE,MUTHAMIL NAGAR",ORD
MD170,"THIRUVERKADU,VELAPPANCHAVADI,VAANAGARAM,MADURAVOYAL,NERKUNDRAM,KOYMABEDU MARKET,KOYAMBEDU P.S,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,GUINDY TVK ESTATE,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY",ORD
517T Dlx,"PALLAVARAM,PALLAVARAM NEW BRIDGE,VELS UNIVERSITY,D.J.MAT.SCHOOL,ECHANKADU,VELLAIKAL,JN.OF.VLY-TBM RD&MVKM-K.K;,PALLAVAN NAGAR,PERUMBAKKAM LIMIT,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM,CHENGAMMAL KOOT ROAD,KOMAN NAGAR RD JN.,KALAVAKKAM TEA STALL,THIRUPPORUR",ORD
599 Dlx,"T.NAGAR,SAIDAPET,ENG.COLLEGE,ADAYAR B.S.,ADAYAR DEPOT,THIRUVANMIYUR,KOTTIVAKKAM,PALAVAKKAM,NEELANKARAI,VETTUVANKANNI,CHOLA MANDAL,INJAMBAKKAM,PANAIYUR,UTHANDI VILLAGE,KANATHUR,NATURE CARE HOSPITAL,MUTTUKKADU,MUTTUKKADU BOAT YARD,KOVALAM,CHEMMANCHERI KUPPAM,THIRUVEDANTHAI,VADANEMILI,PERIYAL NEMBILI VILLAGE,SULERIKADU,KRISHNA KARANAI,PATTIKULAM COLONY,ILLANTHOPE,SALAVANKUPPAM/DEVANORI,SCULPTURE ARTS COLLEGE,MAMALLAPURAM",ORD
219A AC,"AMBATHUR ESTATE,MOGAIPAIR ROAD JN.,THIRUMANGALAM,ANNA NAGAR CIRCLE,HOTEL ARUN,NUNGAMBAKKAM R.S,MAHALINGAPURAM,BHARATHI NAGAR(PERIYAR PA,T.NAGAR,SAIDAPET,CONCORDE,ENG.COLLEGE,WOMEN'S POLYTECHNIC,SRP TOOLS,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM",AC
23A,"PALAVAKKAM,KOTTIVAKKAM,THIRUVANMIYUR,ADAYAR DEPOT,BESANTNAGAR W.TANK,AVVAI HOME,A.M.S.HOSPITAL,DEVANATHAN ST / MANDAVELI,LUZ,C.I.T.COLONY,U.S.I.S.,STERLING ROAD,MATERNITY HOSPITAL,EGMORE",ORD
23C,"BESANT NAGAR,ADAYAR DEPOT,ADAYAR B.S.,ENG.COLLEGE,CONCORDE,SAIDAPET,S.H.B,D.M.S,T.V.S,ANNA ROAD P.O./DAMS ROAD,EGMORE,DHARMAPRAKASH/PETROL BUNK,KELLEYS,AYANAVARAM B.S","ORD,ORD,EXP"
517K Dlx,"PALLAVARAM,PALLAVARAM NEW BRIDGE,VELS UNIVERSITY,D.J.MAT.SCHOOL,ECHANKADU,VELLAIKAL,JN.OF.VLY-TBM RD&MVKM-K.K;,PALLAVAN NAGAR,PERUMBAKKAM LIMIT,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM,SALT OFFICE,KOVALAM",ORD
55D,"TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,SADANANDAPURAM,ALAPAKKAM,NEDUGUNDRAM,KOLAPAKKAM,VENGAMBAKKAM RD JN.,KANDIGAI,MALROSAPURAM,KEERAPAKKAM",ORD
55G,"TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,SADANANDAPURAM,ALAPAKKAM,NEDUGUNDRAM,KOLAPAKKAM,VENGAMBAKKAM RD JN.,VENGAMBAKKAM VILLAGE",ORD
55A,"PALLAVARAM,NAGALKENI,THIRUNEERMALAI,VAZHUTHALAMBEDU RD. JN,THIRUMUDIVAKKAM,PAZHANTHANDALAM",ORD
54L Cut,"VELLAVEDU,THIRUMALISAI,VARADARAJA PURAM,POONAMALLEE,KUMUNANCHAVADI,AYYAPPAN THANGAL,PORUR,MOGALIVAKKAM,RAMAPURAM,BUTT ROAD,GUINDY TVK ESTATE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY",EXP
55C,"TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,CRESCENT RESIDENTIAL H.S.,KOLAPAKKAM COLONY,KOLAPAKKAM RICE MILL,VENGAMBAKKAM RD JN.,KANDIGAI,MELKOTTIYUR,MAMBAKKAM RDJN./VENKATAMA,ERIKARAI,SONALUR / PUDUR",ORD
55B,"GUDUVANCHERY,PALAKKA COMPANY,OORAPAKKAM SCHOOL,VANDALOOR ZOO,VANDALOOR,PERUNGULATHUR,IRUMBULIYUR,TAMBARAM,KANNADAPALAYAM,PAZAVANTHANGAL ROAD JN.,DURGAS,PAZAVANTHANGAL ROAD JN.,PAZHANTHANDALAM",ORD
M60,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,PAMMAL,ANAKAPUTHUR,ANDAKUPPAM,KUNDRATHUR B.S,SIRUKALATHUR,ALAGESA NAGAR,NANDAMBAKKAM KALAIGNAR NA",ORD
M24D,"AMB OT,DUNLOP,VINAYAGAR KOIL,JN.OF CENTRAL AVENUE&ERIK;,LUCAS TVS,THIRUMANGALAM,ANNA NAGAR CIRCLE,AMINIJIKARAI,TAYLORS ROAD,STERLING ROAD,GEMINI P.H,ROYAPETTA HOSPITAL,V.HOUSE",ORD
M62,"RED HILLS,AAYURVEDA ASHRAMAM,KAVANGARAI,SCREW FACTORY,SURAPEDU,KALLIKUPPAM,PUDUR,AMB OT,THIRUMULLAIVOAYL,POLYTECHNIC,AVADI",ORD
592A,"RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,PERIYAPALAYAM RD JN.,SAKTHI VINAYAGAR KOIL,PANDY KAVANOOR JN.,MANCHANKARANAI,KANNIGAIPEIR,DHARMAPURAM KANDIGAI,JEYAPURAM,AVADI ROAD JN.,PERIYAPALAYAM,ARIYAPAKKAM,ATHUPAKKAM,THANDALAM,KARUMANOOR KANDIGAI,PERUMBUR,PALAVAKKAM,ELLAMPETTAI,THARATCHI COLONY,THOMMARAM BEDU,UTHUKKOTTAI",EXP
M66,"TAMBARAM,T.B.SANATORIUM,CHROMPET,PALLAVARAM,PAMMAL,ANAKAPUTHUR,ANDAKUPPAM,KUNDRATHUR B.S,KOLLAICHERI,SIKKARAVARAM,MANGADU,KUMUNANCHAVADI,POONAMALLEE",ORD
A70K Dlx,"AVADI,POLYTECHNIC,THIRUMULLAIVOAYL,AMB OT,DUNLOP,AMBATHUR ESTATE,LUCAS TVS,THIRUMANGALAM,KOYAMBEDU SCHOOL,M.M.D.A.COLONY RD.JN.,JN OF III AND 1ST AVE,JAFFARKHAN PET,CIPET,ST THOMAS MOUNT PO,PAZAVANTHANGAL ROAD JN.,CHIDAMBARAM STORES,NANGANALLUR,MADIPAKKAM KOOT ROAD,KILKATTALAI",ORD
532 Dlx,"V. NAGAR,VYASARPADI,SARMA NAGAR,MOOLAKADAI,MADHAVARAM,CYCLE SHOP,KAVANGARAI,AAYURVEDA ASHRAMAM,RED HILLS,PADIYANALLUR,SEMILIVARAM,SHOLAVARAM,KARANODAI,PERIYAPALAYAM RD JN.,PANJETTI,THATCHUR KOOT ROAD,NEW ROAD,PUDUVOYAL,PANAPAKKAM,AGARAM,ARANI,KOSAVAMPETTAI,ANJATHAMMAN KOIL,PERIYAPALAYAM",ORD
M88R,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,GUINDY R.S,BUTT ROAD,RAMAPURAM,MOGALIVAKKAM,PORUR,MOULIVAKKAM,PERIYAPANICHERI,THANDALAM RD JN.,KUNDRATHUR B.S,SIRUKALATHUR,ALAGESA NAGAR,SOMANGALAM RD JN/N.V.R.D.,POONTHANDALAM,SOMANGALAM,NALLUR,AMARAMBEDU ROAD,AMARAMBEDU",ORD
G18,"T.NAGAR,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,OORAPAKKAM SCHOOL,PALAKKA COMPANY,GUDUVANCHERY","ORD,EXP"
G17,"BROADWAY,CENTRAL,P.OR & SONS,T.V.S,GEMINI P.H,VETERINARY HOSPITAL,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,MOGALIVAKKAM RD. JN.,MOGALIVAKKAM",ORD
01C Dlx,"ENNORE,ASHOK LAYLAND,ERNAVOOR GATE,THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,WESLEY H.S,Y.M.I.A,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR",ORD
119B,"GUINDY TVK ESTATE,CONCORDE,ANNA UNIVERSITY,ADAYAR B.S.,ADAYAR DEPOT,LATTICE BRIDGE,MEDAVAKKAM COLONY,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,NUCLEUS COMPANY,CHEMMANCHERY S.C.B.",ORD
01G Dlx,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY",ORD
01D Dlx,"ENNORE,THAZHANKUPPAM,KOTHARI,ASHOK LEYLAND MARK.DIV.,I.C.I.,CORBORUNDUM UNIVERSAL,BUILDERS INDUSTRY,BURMAH SHELL PETROL BUNK,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,WESLEY H.S,Y.M.I.A,DEVANATHAN ST / MANDAVELI,A.M.S.HOSPITAL,ADAYAR O.T.,ADAYAR DEPOT,THIRUVANMIYUR",ORD
01E Dlx,"ENNORE,THAZHANKUPPAM,KOTHARI,ASHOK LEYLAND MARK.DIV.,I.C.I.,CORBORUNDUM UNIVERSAL,BUILDERS INDUSTRY,BURMAH SHELL PETROL BUNK,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,T.V.S,D.M.S,S.H.B,SAIDAPET,CONCORDE,GUINDY R.S,ST THOMAS MOUNT PO,MENAMABAKKAM OLD AIRPORT,THIRUSOOLAM NATIONAL AIRP,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM",ORD
159E,"ENNORE,THAZHANKUPPAM,KOTHARI,ASHOK LEYLAND MARK.DIV.,I.C.I.,THIRUVETRIYUR B.S,THRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,REGAL,CHOOLAI P.O,LADY MCTM SCHOOL/MILLERS,TAYLORS ROAD,AMINIJIKARAI,NADUVANKARAI,ARUMBAKKAM,C.M.B.T.",ORD
H51 Ext,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,Y.M.I.A,MANDAVELI,A.M.S.HOSPITAL,ADAYAR B.S.,ADAYAR DEPOT,LATTICE BRIDGE RD. JN.,I.R.T. RD.JN.,VELACHERY VIJAYA NAGAR,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,Q.M ARTS (MEN),S.I.V.E.T,MAHALAKSHMI NAGAR,CONVENT,BHARATHA MATHA ST,NATIONAL HIGH SCHOOL,VARADHARAJA THEATER,CHITLAPAKKAM B.S",ORD
525 Dlx,"VADAPALANI B.S,VIRUGAMBAKKAM,VALASARAVAKKAM,PORUR,AYYAPPAN THANGAL,KUMUNANCHAVADI,POONAMALLEE,NAZARATHPET,CHEMBARAMBAKKAM,PAPPANCHATRAM,CHETTIPEDU,THANDALAM KOOT ROAD,SIPCOT,IRUNKATTUKOTTAI,PENNALUR E.B.,BEEMANTHANGAL,SRIPERUMPUDUR,TRAVELLERS BANGALOW,VADAMANGALAM KOOT ROAD,MAMBAKKAM,THIRUMANGALAM,SUNGUVARCHATHIRAM",ORD
521 Dlx,"BROADWAY,SECRETARIAT,CHEPAUK,Q.M.C,FORE SHORE ESTATE,A.M.S.HOSPITAL,ADAYAR O.T.,INDIRA NAGAR WATER TANK,LATTICE BRIDGE RD. JN.,KANDANCHAVADI,THORAPPAKKAM TEA SHOP,MOOTAKARAN CHAVADI,KARAPAKKAM,SOZHINGANALLUR P.U.OFFICE,KUMARAN NAGAR,CHEMMAN CHERI,NAVALUR,CHURCH,PALAVASTHIC CHEMICALS,HINDUSTAL EGG. COLLEGE,KELAMBAKKAM,CHENGAMMAL KOOT ROAD,KOMAN NAGAR RD JN.,KALAVAKKAM TEA STALL,THIRUPPORUR",ORD
01G Ext Dlx,"THIRUVETRIYUR B.S,THIRUVOTRIYUR TEMPLE,THANGAL,ANNA NAGAR,ROYAPURAM P.S,CLIVE BATTERY,PARRYS,CENTRAL,P.OR & SONS,TAMBARAM TOWN LIMIT,D.M.S,S.H.B,SAIDAPET,CONCORDE,JN.OF RACE COURSE RD,GURUNANAK COLLEGE,VELACHERY,MADIPAKKAM RD. JN.,NARAYANAPURAM,MEDAVAKKAM COLONY,MEDAVAKKAM KOOT ROAD",ORD
566A Dlx,"TAMBARAM,T.B.SANATORIUM,CHROMPET,PALLAVARAM,PAMMAL,ANAKAPUTHUR,ANDAKUPPAM,KUNDRATHUR B.S,KOLLAICHERI,SIKKARAYAPURAM,MANGADU,KUMUNANCHAVADI,POONAMALLEE,VARADARAJA PURAM,THIRUMALISAI,VELLAVEDU,NEMAM,PUTHUCHATHIRAM,METTUKANDIGAI,MURUKKANCHERI,ARANVOYAL KUPPAM,ARANVOYAL,VENKATHUR,MANAVALAN NAGAR,OIL MILL,THIRUVALLUR",ORD
138,"ENNORE,ASHOK LAYLAND,ERNAVOOR GATE,THIRUVETRIYUR B.S,THRUVOTRIYUR TEMPLE,THANGAL,TONDAIAYRPET,THEAGARAYA COLLEGE,V. NAGAR,VYASARPADI,MAHAKAVI BHARATHI NAGAR,SIDCO,MOSQUE,MUTHAMIL NAGAR",ORD
27C Dlx,"T.NAGAR,BHARATHI NAGAR(PERIYAR PA,TRUSTPURAM,VADAPALANI B.S,VIRUGAMBAKKAM,CHINMAYA NAGAR,KOYMABEDU MARKET,NERKUNDRAM,MADURAVOYAL,VAANAGARAM,VELAPPANCHAVADI,THIRUVERKADU",ORD
T51 Dlx,"TAMBARAM EAST,CONVENT,MAHALAKSHMI NAGAR,S.I.V.E.T,JN.OF.VLY-TBM RD&MVKM-K.K;,PALLAVAN NAGAR,PERUMBAKKAM LIMIT,SOZHINGANALLUR P.U.OFFICE,KARAPAKKAM,MOOTAKARAN CHAVADI,THORAPPAKKAM TEA SHOP,KANDANCHAVADI,LATTICE BRIDGE,THIRUVANMIYUR",ORD
20,"BROADWAY,CENTRAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,VILLIVAKKAM",ORD
21,"HIGH COURT,CENTRAL,P.OR & SONS,WESLEY H.S,Y.M.I.A,MANDAVELI",ORD
22,"AYANAVARAM B.S,VILLIVAKKAM,KAMABAR ARANGAM,SAYANI/AYNAVARAM,KELLEYS,DHARMAPRAKASH/PETROL BUNK,EGMORE,ANNA POORNA HOTEL/DAMS RD,TRIPLICANE,ANNA SQUARE",ORD
37C,"VADAPALANI B.S,TRUSTPURAM,VETERINARY HOSPITAL,STERLING ROAD,MATERNITY HOSPITAL,DHARMAPRAKASH/PETROL BUNK,KELLEYS,SAYANI/AYNAVARAM,KAMABAR ARANGAM,VILLIVAKKAM",ORD
566B Dlx,"PATTUR,MANGADU KOOT ROAD,SIKKARAVARAM,KOLLAICHERI,KUNDRATHUR B.S,ANDAKUPPAM,ANAKAPUTHUR,PAMMAL,PALLAVARAM,CHROMPET,T.B.SANATORIUM,TAMBARAM,IRUMBULIYUR,PERUNGULATHUR,VANDALOOR,VANDALOOR ZOO,ANNA NAGAR,KOLAPAKKAM,VENGAMBAKKAM,KANDIGAI,MAMBAKKAM,CAMP,PUDUPAKKAM,SAMIYAR PANNAI,KELAMBAKKAM,SALT OFFICE,KOVALAM",ORD
